RCID	OBJL	BOY_FIELD	BOY_VALUE	LON	LAT
68485	BOYLAT	BOYLAT	4.0	121.186178	31.746917
68486	BOYLAT	BOYLAT	4.0	121.160431	31.752657
68487	BOYLAT	BOYLAT	4.0	121.135521	31.764956
68488	BOYLAT	BOYLAT	4.0	121.163967	31.759273
68489	BOYLAT	BOYLAT	4.0	121.043245	31.743246
68490	BOYLAT	BOYLAT	4.0	121.035845	31.746596
68491	BOYLAT	BOYLAT	4.0	121.079562	31.76907
68492	BOYLAT	BOYLAT	4.0	121.053246	31.772202
68493	BOYLAT	BOYLAT	4.0	121.02163	31.751556
68494	BOYLAT	BOYLAT	4.0	121.008534	31.759668
68495	BOYLAT	BOYLAT	4.0	121.000019	31.762139
68504	BOYLAT	BOYLAT	4.0	121.029073	31.775697
68505	BOYLAT	BOYLAT	4.0	121.027221	31.769121
68522	BOYLAT	BOYLAT	4.0	121.164846	31.818092
68523	BOYLAT	BOYLAT	4.0	121.178571	31.830202
68524	BOYLAT	BOYLAT	4.0	121.195077	31.838575
68525	BOYLAT	BOYLAT	4.0	121.223715	31.846954
68526	BOYLAT	BOYLAT	4.0	121.241595	31.851022
68527	BOYLAT	BOYLAT	4.0	121.259192	31.86408
68528	BOYLAT	BOYLAT	4.0	121.271711	31.877868
68529	BOYLAT	BOYLAT	4.0	121.117108	31.719012
68535	BOYLAT	BOYLAT	4.0	121.159445	31.785597
68536	BOYLAT	BOYLAT	4.0	121.159082	31.801381
68537	BOYLAT	BOYLAT	4.0	121.221389	31.712299
68541	BOYLAT	BOYLAT	4.0	121.297124	31.88283
68542	BOYLAT	BOYLAT	4.0	121.180099	31.745327
68543	BOYLAT	BOYLAT	4.0	121.133336	31.756005
68544	BOYLAT	BOYLAT	4.0	121.07358	31.751717
68545	BOYLAT	BOYLAT	4.0	121.049511	31.762983
68546	BOYLAT	BOYLAT	4.0	121.183335	31.677018
72040	BOYLAT	BOYLAT	4.0	121.014394	31.777926
59836	BOYCAR	BOYCAR	4.0	121.453033	31.505374
59837	BOYCAR	BOYCAR	4.0	121.435413	31.501498
59838	BOYCAR	BOYCAR	4.0	121.450941	31.466581
8092	BOYSPP	BOYSPP		120.749997	32.028588
8093	BOYSPP	BOYSPP	4.0	120.747426	31.991971
8094	BOYSPP	BOYSPP	4.0	120.898575	31.872002
8097	BOYSPP	BOYSPP	4.0	120.868344	31.953121
8098	BOYSPP	BOYSPP		120.890419	31.826905
8099	BOYSPP	BOYSPP		120.874126	31.865157
8100	BOYSPP	BOYSPP		120.86862	31.913836
8101	BOYSPP	BOYSPP	4.0	120.835417	31.975375
8102	BOYSPP	BOYSPP	4.0	120.800031	31.989256
8103	BOYSPP	BOYSPP	4.0	120.82007	31.990753
8105	BOYSPP	BOYSPP	4.0	120.718788	32.011656
8106	BOYSPP	BOYSPP	4.0	120.708077	32.012158
8107	BOYSPP	BOYSPP	4.0	120.718563	32.013464
8108	BOYSPP	BOYSPP	4.0	120.712478	32.038028
8109	BOYSPP	BOYSPP	4.0	120.720739	32.038322
8110	BOYSPP	BOYSPP	4.0	120.952893	31.810459
8111	BOYSPP	BOYSPP	4.0	120.927644	31.878904
8112	BOYSPP	BOYSPP	4.0	120.751595	32.032099
8113	BOYSPP	BOYSPP	4.0	120.758181	32.02666
8114	BOYSPP	BOYSPP	4.0	120.76268	32.005879
8115	BOYSPP	BOYSPP	4.0	120.778747	32.003976
8116	BOYSPP	BOYSPP	4.0	120.766569	31.995266
8117	BOYSPP	BOYSPP	4.0	120.731993	32.002478
8120	BOYSPP	BOYSPP	4.0	120.805029	31.998902
8121	BOYSPP	BOYSPP	4.0	120.83279	31.970399
8122	BOYSPP	BOYSPP	4.0	120.901768	31.895718
8123	BOYSPP	BOYSPP	4.0	120.90754	31.873746
8124	BOYSPP	BOYSPP	4.0	120.961663	31.802836
8125	BOYSPP	BOYSPP	4.0	120.774654	32.023543
8126	BOYSPP	BOYSPP		120.771065	32.017407
8127	BOYSPP	BOYSPP	4.0	120.774238	32.017327
8128	BOYSPP	BOYSPP	4.0	120.757017	32.017955
8129	BOYSPP	BOYSPP	4.0	120.721104	31.998816
8130	BOYSPP	BOYSPP	4.0	120.755298	31.997504
8131	BOYSPP	BOYSPP	4.0	120.879167	31.941935
8132	BOYSPP	BOYSPP	4.0	120.872071	31.939514
8133	BOYSPP	BOYSPP	4.0	120.883918	31.935105
8134	BOYSPP	BOYSPP	4.0	120.892697	31.893981
8135	BOYSPP	BOYSPP		120.971591	31.765884
8136	BOYSPP	BOYSPP		120.881043	31.841448
8137	BOYSPP	BOYSPP	4.0	120.911668	31.775185
8138	BOYSPP	BOYSPP	4.0	120.927228	31.771248
8139	BOYSPP	BOYSPP		120.926039	31.787124
8140	BOYSPP	BOYSPP	4.0	120.914375	31.782906
8141	BOYSPP	BOYSPP	4.0	120.888697	31.788982
8142	BOYSPP	BOYSPP	4.0	120.889156	31.780693
8143	BOYSPP	BOYSPP	4.0	120.869967	31.797749
8144	BOYSPP	BOYSPP		120.871509	31.893562
8145	BOYSPP	BOYSPP	4.0	120.733588	31.994475
8146	BOYSPP	BOYSPP	4.0	120.708366	32.010364
8147	BOYSPP	BOYSPP		120.925738	31.791062
8148	BOYSPP	BOYSPP		120.929717	31.786876
8149	BOYSPP	BOYSPP		120.929901	31.781714
8150	BOYSPP	BOYSPP		120.924025	31.783717
8151	BOYSPP	BOYSPP		120.95784	31.771202
8152	BOYSPP	BOYSPP		120.916753	31.797617
8153	BOYSPP	BOYSPP		120.917262	31.788273
8154	BOYSPP	BOYSPP		120.913016	31.768718
8155	BOYSPP	BOYSPP		120.882757	31.851484
8156	BOYSPP	BOYSPP	4.0	120.944966	31.818212
8157	BOYSPP	BOYSPP		120.956761	31.766583
8158	BOYSPP	BOYSPP	4.0	120.847712	31.826828
8159	BOYSPP	BOYSPP		120.892189	31.774438
8160	BOYSPP	BOYSPP		120.877936	31.873355
8161	BOYSPP	BOYSPP		120.906924	31.791574
8162	BOYSPP	BOYSPP		120.909044	31.80736
8163	BOYSPP	BOYSPP	4.0	120.889276	31.774396
8164	BOYSPP	BOYSPP	4.0	120.877763	31.789825
8165	BOYSPP	BOYSPP		120.899096	31.82323
8166	BOYSPP	BOYSPP		120.890425	31.835492
8167	BOYSPP	BOYSPP		120.921752	31.795301
8168	BOYSPP	BOYSPP		120.966291	31.76895
8169	BOYSPP	BOYSPP	4.0	120.886992	31.783814
8170	BOYSPP	BOYSPP	4.0	120.710617	31.997463
8400	BOYSPP	BOYSPP	4.0	120.763447	32.027325
8401	BOYSPP	BOYSPP	4.0	120.769747	32.026279
8402	BOYSPP	BOYSPP	4.0	120.745544	32.012097
8403	BOYSPP	BOYSPP	4.0	120.971933	31.782375
