lon lat depth
122.052869 29.920345 75.00
122.053608 29.924646 92.00
122.051151 29.927005 54.00
122.048802 29.924552 63.00
122.055787 29.927421 66.00
122.057119 29.925606 43.00
122.046982 29.928404 91.00
122.041056 29.925720 99.00
122.043319 29.927261 96.00
122.039575 29.925899 110.00
122.037600 29.929543 88.00
122.041865 29.931359 81.00
122.043063 29.967828 35.00
122.043360 29.969263 64.00
122.042231 29.973006 80.00
122.046270 29.971973 76.00
122.036296 29.989568 47.00
122.038843 29.988258 40.00
122.041537 29.978818 41.00
122.045639 29.978486 41.00
122.043270 29.976041 64.00
122.054047 29.982595 61.00
122.055852 29.980891 37.00
122.052344 29.978367 63.00
122.055923 29.975910 34.00
122.055940 29.973636 54.00
122.059601 29.972641 60.00
122.052305 29.972072 77.00
122.049211 29.974751 72.00
122.055969 29.970111 56.00
122.052345 29.968877 61.00
122.059442 29.967791 40.00
122.066887 29.969858 46.00
122.063263 29.968870 46.00
122.061951 29.967755 53.00
122.063180 29.970470 66.00
122.063304 29.966038 49.00
122.068467 29.971719 52.00
122.070542 29.967233 33.00
122.073794 29.967773 54.00
122.076553 29.964947 40.00
122.058400 29.960781 42.00
122.063604 29.960907 55.00
122.064256 29.957470 60.00
122.061166 29.957594 34.00
122.059225 29.957548 72.00
122.066882 29.954377 34.00
122.073637 29.951264 48.00
122.071969 29.948080 51.00
122.073608 29.944796 36.00
122.070314 29.944942 46.00
122.063390 29.945855 62.00
122.055432 29.957617 34.00
122.055975 29.964609 52.00
122.049075 29.967170 56.00
122.060448 29.963891 54.00
122.076500 29.971664 36.00
