RCID	LON	LAT	symbol
6326	119.321497	37.816293	null
6327	119.426607	37.475799	null
6328	118.222794	38.334034	null
10488	119.5758611	38.3149722	null
6973	119.977847	37.495104	null
11326	121.063818	37.746271	null
11330	121.056318	38.155153	null
11332	120.767211	37.841936	null
11333	120.768211	37.879991	null
11226	120.51466	38.093598	BOYSPR61.png
11227	120.690769	38.042599	BOYSPR61.png
11228	120.870765	38.011933	BOYSPR61.png
11229	120.667436	38.005822	BOYSPR60.png
11230	120.449384	38.005267	BOYSPR60.png
11231	120.862432	37.971351	BOYSPR60.png
11232	120.970764	37.936907	BOYSPR60.png
11234	120.97743	38.011933	BOYSPR61.png
11235	121.176566	37.617023	BOYSPR60.png
11236	120.733061	37.871064	BOYSPR61.png
11237	120.888172	37.850154	BOYSPR60.png
11238	121.266365	37.633431	BOYSPR61.png
11239	121.311341	37.663134	BOYSPR60.png
11241	120.572354	37.797712	BOYSPR61.png
11242	120.520161	37.86713	BOYSPR61.png
11243	120.598139	37.898567	BOYSPR61.png
11244	120.691025	37.880158	null
11245	120.578532	37.810169	BOYSPR60.png
11246	120.888444	37.871067	BOYSPR61.png
11250	121.236231	37.961684	BOYSPR60.png
11251	121.198121	37.881324	BOYSPR61.png
11252	121.172955	37.805631	BOYSPR60.png
11253	121.147927	37.757326	BOYSPR61.png
11254	120.567437	38.06471	BOYSPR61.png
11255	121.142705	37.734077	BOYSPR61.png
11256	121.261537	38.037349	BOYSPR61.png
11257	120.894598	37.837547	BOYSPR61.png
11310	122.380784	38.071914	null
11311	120.936375	38.344705	null
11312	120.598041	37.880249	null
7899	123.746008	35.078597	null
7901	124.49991	30.999996	null
7908	123.002991	35.23798	null
7912	122.011118	35.254924	null
7914	123.486427	35.241591	null
7928	123.062378	32.66069	null
12771	124.1333333	35.0	null
12777	124.5101667	35.4270833	null
12779	124.0940278	32.8853333	null
12806	124.0569444	36.1333333	null
12719	121.542596	37.627788	null
12720	121.992426	37.625212	null
12721	122.125757	37.625211	null
12722	121.421666	37.606921	null
12723	122.125757	37.60188	null
12724	121.992426	37.601878	null
12725	121.599984	37.581576	null
12726	121.600333	37.552227	null
12727	122.54998	37.499978	null
12728	121.813769	37.762918	null
12729	121.763631	37.694197	null
12730	121.886074	37.673614	null
12731	121.825436	37.68603	null
12732	123.495963	36.854656	null
12733	122.004822	37.542144	null
12734	122.669644	37.352647	null
16895	121.6138333	36.6916667	null
12574	122.673838	37.284093	BOYSPR61.png
12575	122.667061	37.27401	BOYSPR61.png
12576	122.50948	37.116707	BOYSPR60.png
12577	122.621395	37.112235	BOYSPR61.png
12578	122.596728	36.965071	BOYSPR61.png
12579	121.563208	37.524361	BOYSPR60.png
12580	122.130008	36.929676	BOYSPR61.png
12581	122.084097	36.841212	BOYSPR61.png
12582	121.466447	36.690354	BOYSPR60.png
12837	122.403318	36.634471	null
2776	120.916651	36.099988	null
2780	121.382476	36.19982	null
2781	121.216646	36.177765	null
2610	121.221957	36.631418	BOYSPR61.png
2616	120.476316	36.006856	BOYSPR61.png
17307	120.005387	34.715027	null
17429	119.609743	35.253724	null
17430	119.841033	35.157458	null
17431	119.644757	35.152431	null
17432	119.848587	34.937543	null
17433	119.726673	34.886433	null
17434	119.570841	34.82085	null
17435	119.993001	34.597965	null
17436	120.137539	35.764159	null
17437	119.949977	35.408318	null
17438	119.585895	34.736081	null
17439	119.729559	34.788522	null
17441	119.817921	35.502287	null
17442	119.817808	35.552318	null
17443	119.880972	35.50912	null
17444	120.216649	35.816631	null
17445	120.072402	35.765215	null
17446	119.538256	35.014934	null
17447	119.453974	35.02339	null
17448	119.429841	35.005634	null
17449	119.396664	35.036853	null
17450	119.638976	35.378832	null
17451	119.876988	35.295306	null
17452	119.736824	35.353472	null
17453	119.658325	35.385971	null
17454	119.77149	35.186641	null
17455	119.942182	34.868675	null
17456	120.074485	34.924035	null
